Identity Code,Education,Entertainment,Financial,Government,Health,Retail,Technology,Social Networking
OAT-001,n,y,n,n,n,y,n,n
OAT-002,n,y,y,n,n,y,n,n
OAT-003,n,y,y,n,y,y,y,y
OAT-004,y,y,y,y,y,y,y,y
OAT-005,n,y,y,n,n,y,n,n
OAT-006,n,y,y,y,n,y,n,y
OAT-007,y,y,y,y,y,y,y,y
OAT-008,n,y,y,y,n,y,n,y
OAT-009,y,y,y,y,n,y,n,y
OAT-010,n,n,n,n,n,y,n,n
OAT-011,y,y,y,y,y,y,y,y
OAT-012,n,y,y,y,n,n,n,n
OAT-013,n,y,y,n,n,y,n,n
OAT-014,y,y,y,y,y,y,y,y
OAT-015,n,y,y,y,n,y,y,y
OAT-016,y,y,y,y,y,y,y,y
OAT-017,n,y,n,n,n,y,n,y
OAT-018,y,y,y,y,y,y,y,y
OAT-019,y,y,y,n,n,y,n,y
OAT-020,n,n,y,y,n,n,n,y
OAT-021,y,y,y,y,y,y,y,n
